PetID,avg_label_score,n_labels,crop_confidence
86e1089a3,0.8307984133333334,9.0,0.79999995
6296e909a,0.7954578077857144,8.5,0.79999995
3422e4906,0.7889650897777779,9.714285714285714,0.79999995
5842f1ff5,0.7557482021666666,9.625,0.79999995
850a43f90,0.775335285925926,9.666666666666666,0.79999995
d24c30b4b,0.8234921595000001,10.0,0.79999995
1caa6fcdb,0.7976540879999999,10.0,0.79999995
97aa9eeac,0.7617748398981482,9.444444444444445,0.79999995
c06d167ca,0.8009745056666667,10.0,0.79999995
7a0942d61,0.8351844799999999,10.0,0.79999995
8b693ca84,0.7533529072380951,8.714285714285714,0.79999995
8e76c8e39,0.8631245645000001,10.0,0.79999995
aaedd873d,0.8025634844444445,9.0,0.79999995
4a9793dfb,0.86039358,5.0,0.79999995
c02be41e6,0.7644253142222224,9.5,0.79999995
1fd342e17,0.8174129535,10.0,0.79999995
b38a74866,0.8063190460000002,10.0,0.79999995
f9d07d5fa,0.7515766504166667,8.5,0.79999995
1c92ce464,0.81496682825,10.0,0.79999995
b10e7605a,0.837987459,10.0,0.79999995
6436c1a59,0.7806959396553287,8.142857142857142,0.79999995
234a5a54c,0.7752783460357143,7.2,0.79999995
1bc0f89d8,0.0,0.0,0.0
1bf24d8be,0.0,0.0,0.0
988988d5b,0.7777500246081871,9.789473684210526,0.79999995
cf7d3eec0,0.7996991480000001,10.0,0.79999995
85fc3c314,0.8502914280909092,10.0,0.79999995
efbf1703a,0.72516315125,8.0,0.79999995
7843a9dca,0.0,0.0,0.0
d341fbfd6,0.822091508,10.0,0.79999995
1a76190c5,0.7649704854888888,9.8,0.8399999599999999
edb920079,0.782994843,10.0,0.79999995
543130f60,0.748485952,10.0,0.79999995
9415bc79e,0.8039442915714287,10.0,0.79999995
4c6fe4100,0.7496437912000001,10.0,0.8399999600000001
0737e4f11,0.7667127242,10.0,0.79999995
61fa73996,0.777327324,10.0,0.79999995
eabb13cea,0.7976996206666668,10.0,0.79999995
deff069a2,0.7327663647222222,9.5,0.79999995
4e3640544,0.756605864,10.0,0.79999995
ace21b6b1,0.8649482573076923,10.0,0.8307691930769232
8ee223a17,0.809199291,10.0,0.79999995
9a38d4275,0.8258034479999999,10.0,0.79999995
671ffc570,0.7244138209583334,9.666666666666666,0.79999995
aece6e7bf,0.7595329078333333,9.5,0.79999995
c1e816568,0.7561913694963927,9.363636363636363,0.79999995
22f6c0ac6,0.8090635511923077,9.076923076923077,0.79999995
ea159d8da,0.7789303758928572,7.666666666666667,0.79999995
af1035c81,0.803884296,10.0,0.79999995
0d25f084f,0.7686642256666666,10.0,0.79999995
6fecc5cf7,0.8154717495384616,10.0,0.79999995
7fe8ef73d,0.8115843249999999,10.0,0.79999995
015c75c9e,0.7473103810000001,10.0,0.79999995
